"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"382","Camden","Sep.09","230","290",350,"450"
"383","Campbelltown","Sep.09","200","250",300,"380"
"384","Fairfield","Sep.09","190","250",350,"430"
"385","Gosford","Sep.09","185","260",322.5,"420"
"386","Hawkesbury","Sep.09","200","250",320,"425"
"387","Holroyd","Sep.09","192.5","330",375,"455"
"388","Hornsby","Sep.09","320","390",450,"580"
"389","Liverpool","Sep.09","190","270",360,"450"
"390","Penrith","Sep.09","187.5","250",320,"400"
"391","Pittwater","Sep.09","300","425",600,"782.5"
"392","Sutherland Shire","Sep.09","260","360",480,"590"
"393","Warringah","Sep.09","340","439",620,"800"
"394","Wollondilly","Sep.09","-","245",290,"382.5"
"395","Wyong","Sep.09","160","240",280,"355"
"396","Rest of GMR","Sep.09","170","260",310,"380"
"397","Cessnock","Sep.09","140","215",250,"330"
"398","Kiama","Sep.09","-","267.5",330,"380"
"399","Lake Macquarie","Sep.09","163.4","253",300,"400"
"400","Maitland","Sep.09","155","230",290,"360"
"401","Newcastle","Sep.09","180","285",350,"383"
"402","Port Stephens","Sep.09","170","220",280,"340"
"403","Shellharbour","Sep.09","155","250",320,"400"
"404","Wollongong","Sep.09","170","260",342.5,"420"
"405","Rest of NSW","Sep.09","145","195",255,"320"
"406","New South Wales","Sep.09","330","340",330,"420"
"407","GREATER SYDNEY","Dec.09","365","400",400,"520"
"408","Inner Ring","Dec.09","400","510",695,"950"
"409","Ashfield","Dec.09","300","370",500,"570"
"410","Botany Bay","Dec.09","280","375",500,"640"
"411","Lane Cove","Dec.09","330","400",580,"1000"
"412","Leichhardt","Dec.09","360","540",650,"990"
"413","Marrickville","Dec.09","290","420",550,"650"
"414","Mosman","Dec.09","370","500",795,"1725"
"415","North Sydney","Dec.09","390","520",700,"1000"
"416","Randwick","Dec.09","385","470",650,"957.5"
"417","Sydney","Dec.09","430","560",750,"800"
"418","Waverley","Dec.09","415","550",800,"1405"
"419","Woollahra","Dec.09","387.5","550",900,"1450"
"420","Middle Ring","Dec.09","330","380",470,"650"
"421","Auburn","Dec.09","370","360",430,"550"
"422","Bankstown","Dec.09","180","335",400,"480"
"423","Burwood","Dec.09","240","420",530,"630"
"424","Canterbury","Dec.09","240","300",450,"515"
"425","Canada Bay","Dec.09","420","485",610,"760"
"426","Hunters Hill","Dec.09","-","480",582.5,"925"
"427","Hurstville","Dec.09","290","350",440,"560"
"428","Kogarah","Dec.09","270","372.5",492.5,"670"
"429","Ku-Ring-Gai","Dec.09","380","490",620,"875"
"430","Manly","Dec.09","410","550",750,"1400"
"431","Parramatta","Dec.09","300","350",410,"500"
"432","Rockdale","Dec.09","300","380",470,"600"
"433","Ryde","Dec.09","285","360",500,"630"
"434","Strathfield","Dec.09","320","400",510,"600"
"435","Willoughby","Dec.09","435","495",690,"1000"
"436","Outer Ring","Dec.09","240","320",350,"475"
"437","The Hills Shire","Dec.09","250","380",450,"570"
"438","Blacktown","Dec.09","180","300",340,"450"
"439","Blue Mountains","Dec.09","190","250",300,"382.5"
"440","Camden","Dec.09","195","305",360,"460"
"441","Campbelltown","Dec.09","205","260",310,"385"
"442","Fairfield","Dec.09","200","270",350,"430"
"443","Gosford","Dec.09","180","260",330,"450"
"444","Hawkesbury","Dec.09","182.5","250",330,"445"
"445","Holroyd","Dec.09","220","330",380,"490"
"446","Hornsby","Dec.09","325","395",475,"600"
"447","Liverpool","Dec.09","190","275",375,"450"
"448","Penrith","Dec.09","200","252.5",320,"412.5"
"449","Pittwater","Dec.09","325","460",650,"817.5"
"450","Sutherland Shire","Dec.09","275","370",500,"630"
"451","Warringah","Dec.09","350","450",625,"827.5"
"452","Wollondilly","Dec.09","-","230",290,"430"
"453","Wyong","Dec.09","167.5","245",290,"380"
"454","Rest of GMR","Dec.09","170","260",320,"387.5"
"455","Cessnock","Dec.09","150","220",270,"350"
"456","Kiama","Dec.09","-","270",340,"400"
"457","Lake Macquarie","Dec.09","177.5","250",320,"420"
"458","Maitland","Dec.09","155","240",290,"360"
"459","Newcastle","Dec.09","170","290",340,"430"
"460","Port Stephens","Dec.09","180","225",290,"350"
"461","Shellharbour","Dec.09","170","240",310,"400"
"462","Wollongong","Dec.09","175","265",350,"430"
"463","Rest of NSW","Dec.09","150","200",260,"330"
"464","New South Wales","Dec.09","320","340",340,"425"
"465","GREATER SYDNEY","Mar.10","380","400",420,"530"
"466","Inner Ring","Mar.10","400","520",700,"975"
"467","Ashfield","Mar.10","302.5","375",525,"-"
"468","Botany Bay","Mar.10","285","380",570,"-"
"469","Lane Cove","Mar.10","345","400",592.5,"1000"
"470","Leichhardt","Mar.10","330","550",700,"925"
"471","Marrickville","Mar.10","295","410",580,"700"
"472","Mosman","Mar.10","385","480",825,"1500"
"473","North Sydney","Mar.10","390.5","520",740,"1097.5"
"474","Randwick","Mar.10","390","480",670,"1075"
"475","Sydney","Mar.10","450","580",750,"780"
"476","Waverley","Mar.10","425","560",850,"1195"
"477","Woollahra","Mar.10","410","580",895,"1800"
"478","Middle Ring","Mar.10","350","380",480,"650"
"479","Auburn","Mar.10","320","360",430,"500"
"480","Bankstown","Mar.10","180","340",400,"460"
"481","Burwood","Mar.10","295","420",550,"650"
"482","Canterbury","Mar.10","240","310",430,"520"
"483","Canada Bay","Mar.10","420","500",637.5,"870"
"484","Hunters Hill","Mar.10","-","420",655,"920"
"485","Hurstville","Mar.10","280","360",460,"577.5"
"486","Kogarah","Mar.10","300","380",500,"580"
"487","Ku-Ring-Gai","Mar.10","380","470",645,"915"
"488","Manly","Mar.10","435","580",850,"1400"
"489","Parramatta","Mar.10","300","350",410,"500"
"490","Rockdale","Mar.10","300","380",500,"570"
"491","Ryde","Mar.10","290","365",520,"640"
"492","Strathfield","Mar.10","360","420",479,"600"
"493","Willoughby","Mar.10","440","525",705,"1030"
"494","Outer Ring","Mar.10","250","320",350,"470"
"495","The Hills Shire","Mar.10","265","395",450,"600"
"496","Blacktown","Mar.10","200","305",350,"440"
"497","Blue Mountains","Mar.10","195","260",300,"400"
"498","Camden","Mar.10","-","325",377.5,"460"
"499","Campbelltown","Mar.10","200","270",320,"400"
"500","Fairfield","Mar.10","200","260",360,"440"
"501","Gosford","Mar.10","170","265",340,"450"
"502","Hawkesbury","Mar.10","-","260",340,"450"
"503","Holroyd","Mar.10","225","330",380,"462.5"
"504","Hornsby","Mar.10","340","400",480,"620"
"505","Liverpool","Mar.10","200","280",380,"450"
"506","Penrith","Mar.10","200","250",330,"420"
"507","Pittwater","Mar.10","350","450",677.5,"850"
"508","Sutherland Shire","Mar.10","280","370",520,"640"
"509","Warringah","Mar.10","350","450",650,"825"
"510","Wollondilly","Mar.10","185","230",300,"400"
"511","Wyong","Mar.10","170","250",290,"372.5"
"512","Rest of GMR","Mar.10","175","270",330,"395"
"513","Cessnock","Mar.10","160","232.5",270,"360"
"514","Kiama","Mar.10","-","280",350,"420"
"515","Lake Macquarie","Mar.10","170","270",330,"420"
"516","Maitland","Mar.10","155","250",290,"370"
"517","Newcastle","Mar.10","180","300",350,"360"
"518","Port Stephens","Mar.10","175","230",292.5,"375"
"519","Shellharbour","Mar.10","165","240",330,"420"
