"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"487","Gwydir","2014",9.4,27.4,28.5,34.7
"488","Gwydir","2015",8.6,25.8,28,37.6
"489","Gwydir","2016",8.3,24.3,27.7,39.6
"490","Gwydir","2017",8.8,25,26.4,39.8
"491","Hawkesbury","2008",6.8,25.7,28.9,38.7
"492","Hawkesbury","2009",6.7,24.7,31.5,37.1
"493","Hawkesbury","2010",6.9,26.2,33.2,33.6
"494","Hawkesbury","2011",8,27.9,30.3,33.7
"495","Hawkesbury","2012",8.3,31.1,28.8,31.8
"496","Hawkesbury","2013",6.6,33.5,29.8,30.1
