Postcode,Offence,Year,State,LGA,violence_count,Person_Population_Number_Total,Population_Density
2206,Liquor offences,2008,New South Wales,Canterbury-Bankstown,69,NA,NA
2207,Liquor offences,2008,New South Wales,Canterbury-Bankstown,55,NA,NA
2208,Liquor offences,2008,New South Wales,Canterbury-Bankstown,25,NA,NA
2209,Liquor offences,2008,New South Wales,Canterbury-Bankstown,58,NA,NA
2210,Liquor offences,2008,New South Wales,Canterbury-Bankstown,334,NA,NA
2211,Liquor offences,2008,New South Wales,Canterbury-Bankstown,19,NA,NA
2212,Liquor offences,2008,New South Wales,Canterbury-Bankstown,115,NA,NA
2213,Liquor offences,2008,New South Wales,Canterbury-Bankstown,55,NA,NA
2214,Liquor offences,2008,New South Wales,Canterbury-Bankstown,117,NA,NA
2234,Liquor offences,2008,New South Wales,Canterbury-Bankstown,168,NA,NA
2652,Liquor offences,2008,New South Wales,Carrathool,176,NA,NA
2665,Liquor offences,2008,New South Wales,Carrathool,233,NA,NA
2669,Liquor offences,2008,New South Wales,Carrathool,36,NA,NA
2672,Liquor offences,2008,New South Wales,Carrathool,162,NA,NA
2675,Liquor offences,2008,New South Wales,Carrathool,92,NA,NA
2680,Liquor offences,2008,New South Wales,Carrathool,744,NA,NA
2681,Liquor offences,2008,New South Wales,Carrathool,2,NA,NA
2706,Liquor offences,2008,New South Wales,Carrathool,31,NA,NA
2711,Liquor offences,2008,New South Wales,Carrathool,211,NA,NA
2835,Liquor offences,2008,New South Wales,Carrathool,555,NA,NA
2877,Liquor offences,2008,New South Wales,Carrathool,502,NA,NA
2878,Liquor offences,2008,New South Wales,Carrathool,29,NA,NA
2083,Liquor offences,2008,New South Wales,Central Coast,7,NA,NA
2250,Liquor offences,2008,New South Wales,Central Coast,1287,NA,NA
2251,Liquor offences,2008,New South Wales,Central Coast,115,NA,NA
2256,Liquor offences,2008,New South Wales,Central Coast,215,NA,NA
2257,Liquor offences,2008,New South Wales,Central Coast,268,NA,NA
2258,Liquor offences,2008,New South Wales,Central Coast,22,NA,NA
2259,Liquor offences,2008,New South Wales,Central Coast,262,NA,NA
2260,Liquor offences,2008,New South Wales,Central Coast,676,NA,NA
2261,Liquor offences,2008,New South Wales,Central Coast,429,NA,NA
2262,Liquor offences,2008,New South Wales,Central Coast,171,NA,NA
2263,Liquor offences,2008,New South Wales,Central Coast,395,NA,NA
2264,Liquor offences,2008,New South Wales,Central Coast,59,NA,NA
2265,Liquor offences,2008,New South Wales,Central Coast,0,NA,NA
2325,Liquor offences,2008,New South Wales,Central Coast,303,NA,NA
2775,Liquor offences,2008,New South Wales,Central Coast,25,NA,NA
2648,Liquor offences,2008,New South Wales,Central Darling,34,NA,NA
2675,Liquor offences,2008,New South Wales,Central Darling,92,NA,NA
2715,Liquor offences,2008,New South Wales,Central Darling,145,NA,NA
2835,Liquor offences,2008,New South Wales,Central Darling,555,NA,NA
2836,Liquor offences,2008,New South Wales,Central Darling,304,NA,NA
2840,Liquor offences,2008,New South Wales,Central Darling,384,NA,NA
2878,Liquor offences,2008,New South Wales,Central Darling,29,NA,NA
2879,Liquor offences,2008,New South Wales,Central Darling,14,NA,NA
2880,Liquor offences,2008,New South Wales,Central Darling,683,NA,NA
2250,Liquor offences,2008,New South Wales,Cessnock,1287,NA,NA
2259,Liquor offences,2008,New South Wales,Cessnock,262,NA,NA
2265,Liquor offences,2008,New South Wales,Cessnock,0,NA,NA
2278,Liquor offences,2008,New South Wales,Cessnock,2,NA,NA
2285,Liquor offences,2008,New South Wales,Cessnock,136,NA,NA
2286,Liquor offences,2008,New South Wales,Cessnock,20,NA,NA
2287,Liquor offences,2008,New South Wales,Cessnock,103,NA,NA
2320,Liquor offences,2008,New South Wales,Cessnock,536,NA,NA
2321,Liquor offences,2008,New South Wales,Cessnock,57,NA,NA
2322,Liquor offences,2008,New South Wales,Cessnock,56,NA,NA
2323,Liquor offences,2008,New South Wales,Cessnock,113,NA,NA
2325,Liquor offences,2008,New South Wales,Cessnock,303,NA,NA
2326,Liquor offences,2008,New South Wales,Cessnock,41,NA,NA
2327,Liquor offences,2008,New South Wales,Cessnock,66,NA,NA
2330,Liquor offences,2008,New South Wales,Cessnock,288,NA,NA
2331,Liquor offences,2008,New South Wales,Cessnock,0,NA,NA
2334,Liquor offences,2008,New South Wales,Cessnock,32,NA,NA
2335,Liquor offences,2008,New South Wales,Cessnock,54,NA,NA
2756,Liquor offences,2008,New South Wales,Cessnock,298,NA,NA
2775,Liquor offences,2008,New South Wales,Cessnock,25,NA,NA
2365,Liquor offences,2008,New South Wales,Clarence Valley,61,NA,NA
2370,Liquor offences,2008,New South Wales,Clarence Valley,122,NA,NA
2372,Liquor offences,2008,New South Wales,Clarence Valley,234,NA,NA
2450,Liquor offences,2008,New South Wales,Clarence Valley,1493,NA,NA
2453,Liquor offences,2008,New South Wales,Clarence Valley,35,NA,NA
2454,Liquor offences,2008,New South Wales,Clarence Valley,270,NA,NA
2456,Liquor offences,2008,New South Wales,Clarence Valley,228,NA,NA
2460,Liquor offences,2008,New South Wales,Clarence Valley,590,NA,NA
2462,Liquor offences,2008,New South Wales,Clarence Valley,10,NA,NA
2463,Liquor offences,2008,New South Wales,Clarence Valley,114,NA,NA
2464,Liquor offences,2008,New South Wales,Clarence Valley,367,NA,NA
2465,Liquor offences,2008,New South Wales,Clarence Valley,5,NA,NA
2466,Liquor offences,2008,New South Wales,Clarence Valley,38,NA,NA
2469,Liquor offences,2008,New South Wales,Clarence Valley,48,NA,NA
2472,Liquor offences,2008,New South Wales,Clarence Valley,10,NA,NA
2672,Liquor offences,2008,New South Wales,Cobar,162,NA,NA
2675,Liquor offences,2008,New South Wales,Cobar,92,NA,NA
2825,Liquor offences,2008,New South Wales,Cobar,165,NA,NA
2831,Liquor offences,2008,New South Wales,Cobar,16,NA,NA
2835,Liquor offences,2008,New South Wales,Cobar,555,NA,NA
2836,Liquor offences,2008,New South Wales,Cobar,304,NA,NA
2840,Liquor offences,2008,New South Wales,Cobar,384,NA,NA
2877,Liquor offences,2008,New South Wales,Cobar,502,NA,NA
2878,Liquor offences,2008,New South Wales,Cobar,29,NA,NA
2450,Liquor offences,2008,New South Wales,Coffs Harbour,1493,NA,NA
2452,Liquor offences,2008,New South Wales,Coffs Harbour,194,NA,NA
2453,Liquor offences,2008,New South Wales,Coffs Harbour,35,NA,NA
2454,Liquor offences,2008,New South Wales,Coffs Harbour,270,NA,NA
2456,Liquor offences,2008,New South Wales,Coffs Harbour,228,NA,NA
2460,Liquor offences,2008,New South Wales,Coffs Harbour,590,NA,NA
2650,Liquor offences,2008,New South Wales,Coolamon,3743,NA,NA
2652,Liquor offences,2008,New South Wales,Coolamon,176,NA,NA
2663,Liquor offences,2008,New South Wales,Coolamon,340,NA,NA
2665,Liquor offences,2008,New South Wales,Coolamon,233,NA,NA
2666,Liquor offences,2008,New South Wales,Coolamon,510,NA,NA
2701,Liquor offences,2008,New South Wales,Coolamon,73,NA,NA
2702,Liquor offences,2008,New South Wales,Coolamon,115,NA,NA
2356,Liquor offences,2008,New South Wales,Coonamble,0,NA,NA
2357,Liquor offences,2008,New South Wales,Coonamble,157,NA,NA
2388,Liquor offences,2008,New South Wales,Coonamble,142,NA,NA
2396,Liquor offences,2008,New South Wales,Coonamble,29,NA,NA
2817,Liquor offences,2008,New South Wales,Coonamble,3,NA,NA
2824,Liquor offences,2008,New South Wales,Coonamble,251,NA,NA
2827,Liquor offences,2008,New South Wales,Coonamble,238,NA,NA
2828,Liquor offences,2008,New South Wales,Coonamble,29,NA,NA
2829,Liquor offences,2008,New South Wales,Coonamble,320,NA,NA
2831,Liquor offences,2008,New South Wales,Coonamble,16,NA,NA
2832,Liquor offences,2008,New South Wales,Coonamble,451,NA,NA
2583,Liquor offences,2008,New South Wales,Cowra,119,NA,NA
2586,Liquor offences,2008,New South Wales,Cowra,55,NA,NA
2792,Liquor offences,2008,New South Wales,Cowra,3,NA,NA
2793,Liquor offences,2008,New South Wales,Cowra,8,NA,NA
2794,Liquor offences,2008,New South Wales,Cowra,252,NA,NA
2795,Liquor offences,2008,New South Wales,Cowra,728,NA,NA
2797,Liquor offences,2008,New South Wales,Cowra,3,NA,NA
2799,Liquor offences,2008,New South Wales,Cowra,45,NA,NA
2800,Liquor offences,2008,New South Wales,Cowra,928,NA,NA
